,confirmation_code,AssignmentStatus,Finished,What.is.your.age.,What.is.your.gender.,What.level.of.education.have.you.completed.,What.is.your.current.job.title.,With.which.ethnicity.do.you.most.identify.,To.give.us.this.information..take.the.following.steps..1..Click.on.the.link..www.onetonline.org.....,The.last.step.is.to.enter.the.six.to.eight.digit.code.corresponding.to.your.occupation.category....
1,11886994,Approved,1,49,Female,High school/GED,Assistant Property Manager,Caucasian,"Property, Real Estate, and Community Association Managers",11-9141.00
2,15738613,Approved,1,31,Female,4-year degree,sales rep,African American,Sales Representatives,41-3099
3,21326075,Approved,1,26,Male,4-year degree,waiter,Asian,Waiters and Waitresses,35-3031.00
4,28224587,Approved,1,27,Female,Masters or equivalent,research assistant,Asian,Biological Technicians,19-4021.00
5,28862568,Approved,1,35,Male,4-year degree,community manager,Caucasian,Retail Salesperson,41-2031.00
6,40185426,Approved,1,38,Male,4-year degree,accountant,Hispanic,accountant,13-2011.01
7,46290377,Approved,0,44,Female,2-year degree,nurse case manager,Caucasian,#NAME?,29-2061.00
8,53391810,Approved,1,26,Female,2-year degree,management,Caucasian,Sales Managers,11-2022.00
9,54132469,Approved,1,24,Male,2-year degree,orderfiller,Caucasian,"Laborers and Freight, Stock, and Material Movers, Hand",53-7062.00
10,54636982,Approved,1,25,Female,4-year degree,Office Manager,Caucasian,Administrative Services Managers,11-3011.00
11,58690210,Approved,1,42,Female,4-year degree,Legal Assistant,Asian,Paralegals and Legal Assistants,23-2011.00
12,64844878,Approved,1,24,Male,4-year degree,Front End Web Developer,Caucasian,Web Developers,15-1134.00
13,67690407,Approved,1,27,Female,High school/GED,online educator,Caucasian,Reporters and Correspondents,27-3022.00
14,73548060,Approved,0,32,Male,4-year degree,Writing Assistant,African American,English Language and Literature Teachers,25-1123.00
15,77026244,Approved,1,25,Female,4-year degree,ASL Interpreter,Caucasian,Interpreters and Translators,27-3091.00
16,77154026,Approved,1,35,Male,High school/GED,Floor Supervisor,Caucasian,Cabinetmakers and Bench Carpenters,51-7011.00
17,77773326,Approved,1,40,Male,2-year degree,LOGISTICS MANAGER,Caucasian,Logistics Managers,11-3071.03
18,95212440,Approved,1,34,Male,4-year degree,Supervisor,Caucasian,Operating Engineers and Other Construction Equipment Operators,47-2073.00
19,95763486,Approved,1,53,Male,High school/GED,mechanical engineer,Caucasian,Mechanical Engineers,17-2141.00
20,98675439,Approved,1,22,Male,4-year degree,Student Supervisor,Caucasian,Administrative Service Managers,11-3011.00
21,100282989,Approved,1,40,Female,Masters or equivalent,Archivist,Caucasian,Archivists,25-4011.00
22,101245972,Approved,1,28,Female,High school/GED,housekeeper,African American,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37-2011.00
23,101300958,Approved,1,28,Female,4-year degree,waitress,Caucasian,Waiters and Waitresses,35-3031.00
24,102789093,Approved,1,33,Female,Masters or equivalent,Media Director,Caucasian,Advertising and Promotions Managers,11-2011.00
25,103634846,Approved,1,21,Female,4-year degree,Assistant writer,Other:,Copy Writer,27-3043.04
26,105414383,Approved,1,28,Male,2-year degree,meat ass.,Caucasian,grocery store meat associate,51-3021.00
27,106486100,Approved,0,29,Male,High school/GED,Restoration,Caucasian,"Maintenance and Repair Workers, General",49-9071.00
28,107259755,Approved,1,22,Female,2-year degree,Clinical Support,Caucasian,Medical Assistant,31-9092.00
29,107571516,Approved,1,20,Female,High school/GED,Server,Caucasian,Waiters and Waitresses,35-3031.00
30,108372245,Approved,1,31,Male,Masters or equivalent,Lead Engineer,Caucasian,Software Quality Assurance Engineers and Testers,15-1199.01
31,112446723,Approved,1,27,Male,High school/GED,cashier,Caucasian,cashier,41-2011.00
32,113555933,Approved,1,25,Male,4-year degree,Engineer,Caucasian,Computer hardware engineer,17-2061.00
33,114327412,Approved,1,40,Female,2-year degree,Assistant Manager,Other:,11-9081.00 lodging manager,11-9081.00
34,114385089,Approved,0,39,Female,4-year degree,City Carrier Assistant,African American,Postal Service Mail Carriers,43-5052.00
35,116967424,Approved,1,38,Female,Masters or equivalent,Compliance Officer,Caucasian,Auditor,13-2011.02
36,117199080,Approved,1,26,Female,High school/GED,Executive Sales Manager,Caucasian,sales manager,11-2022.00
37,118500096,Approved,1,29,Male,2-year degree,IT Clerk,Caucasian,Computer User Support Specialists,15-1151.00
38,119367242,Approved,1,25,Female,2-year degree,Assistant Manager,Caucasian,General and Operations Managers,11-1021.00
39,119813157,Approved,1,34,Female,High school/GED,Administrative Assitant,Caucasian,"43-6014.00 - Secretaries and Administrative Assistants, Except Legal, Medical, and Executive  Perform routine clerical and administrative functions such as drafting correspondence, scheduling appointments, organizing and maintaining paper and electronic f",43-6014.00
40,121271677,Approved,1,61,Male,4-year degree,residential counselor,Caucasian,residential advisor,39-9041.00
41,121921861,Approved,0,47,Female,4-year degree,Senior Project Manager,Caucasian,"Sales Representatives, Services, All Other",41-3099.00
42,124027128,Approved,1,43,Female,2-year degree,IT supervisor,Caucasian,Computer Network Support Specialists,15-1152.00
43,125856095,Approved,1,33,Male,4-year degree,zoologist,Caucasian,Zoologists and Wildlife Biologists,19-1023.00
44,126027112,Approved,0,37,Female,Masters or equivalent,Allocator,Caucasian,"43-1011.00 	First-Line Supervisors of Office and Administrative Support Workers",43-1011.00
45,126088615,Approved,1,44,Female,2-year degree,dental tech,Caucasian,dental laboratory technician,51-9081.00
46,127954807,Approved,0,57,Female,2-year degree,Assistant Manager,Caucasian,https://www.onetonline.org/link/summary/41-1011.00,41-1011.00
47,129154794,Approved,1,49,Male,4-year degree,engineer,Caucasian,civil wngineer,17-2051.00
48,129526277,Approved,0,48,Female,Masters or equivalent,Chef,Caucasian,"Cooks, Private Household",35-2013.00
49,129881530,Approved,1,24,Female,4-year degree,Business Development,Caucasian,Business Operations Specialists,13-1199.00
50,137476293,Approved,1,41,Male,4-year degree,Information Technology Manager,Caucasian,Computer and Information Systems Managers,11-3021.00
51,137897065,Approved,1,24,Female,2-year degree,Agent,Other:,Advertising Sales Agents,41-3011.00
52,138506274,Approved,1,56,Male,4-year degree,production manager,Caucasian,"Production, Planning, and Expediting Clerks",43-5061.00
53,138506895,Approved,0,41,Female,2-year degree,Administrative Assistant,Caucasian,Administrative Services Managers,11-3011.00
54,140127018,Approved,0,25,Female,4-year degree,engineer,Asian,Computer Hardware Engineers,17-2061.00
55,141371627,Approved,1,30,Female,High school/GED,Police Service Representative,African American,"Police, Fire, and Ambulance Dispatchers",43-5031
56,142451415,Approved,1,35,Male,High school/GED,Call Center Agent,Caucasian,Receptionists and Information Clerks,43-4171.00
57,143481355,Approved,1,33,Male,Masters or equivalent,water resources engineer,Caucasian,Water/Wastewater Engineers,17-2081.01
58,146221028,Approved,1,34,Male,4-year degree,engineer,Native American,industrial engineer,17-2112.00
59,146903157,Approved,1,51,Female,High school/GED,hospitality,Hispanic,First-Line Supervisors of Personal Service Workers,39-1021.00
60,147290481,Approved,1,48,Female,4-year degree,instructor,Asian,tutor,25-3099.02
61,148211014,Approved,1,36,Male,4-year degree,Accountant,Hispanic,Accountant,13-2011.01
62,150706905,Approved,1,60,Female,High school/GED,Customer Service Technician,Caucasian,"Control and Valve Installers and Repairers, Except Mechanical Door",49-9012.00
63,150912351,Approved,0,23,Male,4-year degree,Assistant,Caucasian,Community Health Workers,21-1094.00
64,150912351,Approved,0,23,Male,4-year degree,Assistant,Caucasian,Community Health Workers,21-1094.00
65,153245961,Approved,1,31,Female,Masters or equivalent,Administration,Caucasian,Social and Human Service Assistants,21-1093.00
66,157734935,Approved,1,24,Female,4-year degree,Information Techonologist,Caucasian,Network and Computer Systems Administrators,15-1142.00
67,162488312,Approved,1,48,Female,High school/GED,Payroll Benefit Coordinator,Caucasian,payroll time keeping clerk,43-3051.00
68,162783160,Approved,1,24,Female,High school/GED,kennel technician,Caucasian,Nonfarm Animal Caretakers,39-2021.00
69,166294175,Approved,1,35,Male,High school/GED,Owner,Caucasian,Computer Operators,43-9011.00
70,171154550,Approved,1,26,Male,High school/GED,Liquids mixing technican,Other:,"Mixing and Blending Machine Setters, Operators, and Tenders",51-9023.00
71,171336721,Approved,1,36,Female,4-year degree,Medical Billing Specialist,African American,"Billing, Cost, and Rate Clerks",43-3021.02
72,173180140,Approved,0,26,Male,4-year degree,Teacher,Caucasian,"Secondary School Teachers, Except Special and Career/Technical Education",25-2031.00
73,175800620,Approved,1,35,Female,4-year degree,Administrative Assistant,Caucasian,Executive Secretaries and Executive Administrative Assistants,43-6011.00
74,176299238,Approved,1,57,Female,4-year degree,Business owner,Caucasian,Chief Executive,11-1011.00
75,177027144,Approved,1,30,Male,High school/GED,worker,Native American,Survey Researchers,19-3022.00
76,177505434,Approved,1,27,Female,4-year degree,Nursing Assistant,Asian,Nursing Assistants,31-1014.00
77,178003564,Approved,1,36,Female,4-year degree,transcriptionist,Caucasian,Word Processors and Typists,43-9022.00
78,178570042,Approved,1,33,Male,4-year degree,Salesperson,Hispanic,Retail Salespersons,41-2031.00
79,178683216,Approved,1,41,Female,4-year degree,Police Officer,Caucasian,First-Line Supervisors of Police and Detectives,33-1012.00
80,179114411,Approved,1,37,Male,High school/GED,platoon sergeant,Caucasian,First-Line Supervisors of All Other Tactical Operations Specialists,55-2013.00
81,179323813,Approved,1,50,Male,2-year degree,Night Auditor,African American,"Hotel, Motel, and Resort Desk Clerks",43-4081.00
82,180628542,Approved,0,36,Male,Masters or equivalent,Director,Caucasian,Real Estate Brokers,41-9021.00
83,180840859,Approved,0,31,Female,2-year degree,Medical Laboratory Tech 2,Caucasian,Medical and Clinical Laboratory Technicians,29-2012.00
84,183188545,Approved,0,26,Female,4-year degree,Qualified Representative,African American,sales representative,41-3099.00
85,185978407,Approved,1,52,Female,4-year degree,junior web designer,Caucasian,Web Developers,15-1134.00
86,186540312,Approved,1,22,Female,4-year degree,Lead,Caucasian,Customer Service Representatives,43-4051.00
87,187164234,Approved,0,35,Female,4-year degree,security,Caucasian,Retail Loss Prevention Specialists,33-9099.02
88,187187981,Approved,1,41,Female,Masters or equivalent,restaurant owner/manager,Caucasian,Food Service Managers,11-9051.00
89,188972451,Approved,1,42,Male,4-year degree,video,Caucasian,Audio-Visual and Multimedia Collections Specialists,25-9011.00
90,190392975,Approved,1,58,Female,4-year degree,marketing manager,Caucasian,Marketing Managers,11-2021.00
91,191929602,Approved,0,30,Female,Masters or equivalent,Lab Technician,Caucasian,Geological Sample Test Technician,19-4041.02
92,192414684,Approved,1,34,Female,4-year degree,store manager,Caucasian,sales managers,11-2022.00
93,192633839,Approved,1,23,Female,4-year degree,graphic designer,Caucasian,Graphic Designers,27-1024.00
94,193023143,Approved,1,21,Female,High school/GED,Customer Service Representative,Caucasian,Customer Service Representatives,43-4051.00
95,198131706,Approved,1,27,Female,2-year degree,Site manAger,African American,Curators,25-4012.00
96,198403306,Approved,1,43,Male,Ph.D. or equivalent,Senior Operations Research Analyst,Caucasian,Operations Research Analysts,15-2031.00
97,199374039,Approved,1,38,Female,High school/GED,administrative assistant,Caucasian,Executive Secretaries and Executive Administrative Assistants,43-6011.00
98,199785977,Approved,0,25,Female,4-year degree,Host,Caucasian,"]Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35-9031.00
99,199883652,Approved,1,29,Female,High school/GED,office manager,Caucasian,insurance agent,41-3021.00
100,201005979,Approved,1,32,Male,High school/GED,military,Asian,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",55-3019.00
101,202699328,Approved,1,31,Male,Masters or equivalent,Educator/Music Teacher,Caucasian,"Musicians, Instrumental",27-2042.02
102,204512026,Approved,1,51,Male,4-year degree,Computer Technician,Caucasian,"Computer, Automated Teller, and Office Machine Repairers",49-2011.00
103,209053662,Approved,1,31,Female,Masters or equivalent,lecturer,Caucasian,"Art, Drama, and Music Teachers, Postsecondary",25-1121.00
104,209506933,Approved,1,28,Female,High school/GED,assistant,Hispanic,Ophthalmic Medical Technicians,29-2057.00
105,212066098,Approved,0,47,Female,Masters or equivalent,cashier,Caucasian,Cashiers,41-2011.00
106,212565021,Approved,1,26,Male,4-year degree,Team Leader,African American,Information Technology Project Managers,15-1199.09
107,213242476,Approved,0,42,Female,Masters or equivalent,Education specialist,Caucasian,Elementary school teachers,25-2021.00
108,214948220,Approved,0,30,Female,High school/GED,Business Analyst,Caucasian,computer systems analyst,15-1121.00
109,218046889,Approved,1,30,Female,High school/GED,caregiver,Caucasian,Home Health Aides,31-1011.00
110,220210568,Approved,1,24,Female,4-year degree,Market Risk Analyst,Other:,Risk Management Specialists =,13-2099.02
111,221008461,Approved,1,38,Female,4-year degree,Sales support office,Asian,"Office and Administrative Support Workers, All Other",43-9199.00
112,221167372,Approved,1,43,Male,2-year degree,Dispatch,Caucasian,"Police, Fire, and Ambulance Dispatchers",43-5031.00
113,221603000,Approved,0,27,Female,4-year degree,Payroll Manager,Caucasian,Payroll and Timekeeping Clerks,43-3051.00
114,221859321,Approved,1,28,Male,2-year degree,Assistant general manager,Caucasian,Food Service Managers,11-9051.00
115,221947483,Approved,1,21,Female,4-year degree,"Students Associate Director of Admissions, Recruitment, and Retention",Caucasian,"Education Administrators, Postsecondary",11-9033.00
116,223933130,Approved,1,57,Male,4-year degree,Senior Software Development Engineer,Caucasian,"Software Developers, Systems Software",15-1133.00
117,225833754,Approved,1,23,Female,2-year degree,Marketing specialist,Caucasian,marketing managers,11-2021.00
118,227297629,Approved,1,50,Female,Masters or equivalent,Doctoral Intern,Caucasian,Psychologist,19-3031.02
119,227532057,Approved,0,43,Female,4-year degree,Project Lead,Caucasian,Information Technology Project Managers,15-1199.09
120,230274303,Approved,1,36,Female,High school/GED,Advanced Team Associate,Caucasian,Machinists,51-4041.00
121,232179255,Approved,1,26,Female,4-year degree,Lab Technician,African American,Food Science Technicians,19-4011.02
122,233636975,Approved,1,36,Female,2-year degree,Administrative Assistant,Caucasian,Executive Secretaries and Executive Administrative Assistants,43-6011.00
123,236807047,Approved,0,42,Male,4-year degree,Manager,Hispanic,Medical equipment repairers,49-9062.00
124,238951358,Approved,0,29,Female,4-year degree,Analyst,Caucasian,Logistics Analysts,13-1081.02
125,242320599,Approved,1,23,Female,High school/GED,Cashier,Caucasian,Retail salesperson,41-2031.00
126,243137014,Approved,1,32,Female,2-year degree,administrative assistant,Asian,administrative service manager,11-3011.00
127,244402134,Approved,0,63,Female,2-year degree,Registered Nurse,Caucasian,Acute Care Nurses,29-1141.01
128,251860302,Approved,1,51,Female,4-year degree,Registered sales assistant,Caucasian,#NAME?,43-4011.00
129,254014446,Approved,1,56,Female,4-year degree,Manager,Caucasian,Medical And Health Services Manager,11-911-00
130,255334950,Approved,1,26,Male,4-year degree,financial consultant,Indian,Financial Analysts,13-2051.00
131,258019623,Approved,0,32,Female,High school/GED,cashier,Other:,cashiers,41-2011.00
132,260465616,Approved,0,53,Female,4-year degree,Marketing Director,Caucasian,Insurance Sales Agents,41-3021.00
133,262712623,Approved,1,26,Female,4-year degree,Graduate Teaching Assistant,Caucasian,Graduate Teaching Assistants,25-1191.00
134,263201850,Approved,1,45,Male,High school/GED,Engineer,Caucasian,Surveyors,17-1022.00
135,263753672,Approved,1,25,Female,4-year degree,Customer service agent,Caucasian,Customer Service Representative,43-4051.00
136,265082177,Approved,1,21,Female,4-year degree,Sales Supervisor,African American,First-Line Supervisors of Retail Sales Workers,41-1011.00
137,265440368,Approved,0,37,Male,2-year degree,General laborer,Caucasian,"Laborers and Freight, Stock, and Material Movers, Hand",53-7062.00
138,265811474,Approved,0,23,Female,4-year degree,Communications Director,Caucasian,Public Relations Specialist,27-3031.00
139,266910844,Approved,1,50,Female,4-year degree,Designer,Caucasian,Graphic Artist,27-1024.00
140,267488551,Approved,1,37,Female,4-year degree,Customer Service Specialist,Caucasian,Customer Service Representatives,43-4051.00
141,269516864,Approved,1,50,Male,High school/GED,Assistant,Native American,Teacher Assistants,25-9041.00
142,272328985,Approved,0,32,Male,4-year degree,Stage Supervisor,Caucasian,Rigger,49-9096.00
143,273401266,Approved,1,34,Female,4-year degree,Advertising Specialist,Caucasian,Advertising and Promotions Managers,11-2011.00
144,274740850,Approved,0,25,Male,4-year degree,Social Studies Teacher,Other:,"Middle School Teachers, Except Special and Career/Technical Education",25-2022.00
145,281807026,Approved,1,32,Male,4-year degree,computer network engineer,African American,Computer Systems Engineers/Architects,15-1199.02
146,283862544,Approved,1,41,Male,Ph.D. or equivalent,educator,Caucasian,"Political Science Teachers, Postsecondary",25-1065.00
147,283911362,Approved,0,34,Male,Masters or equivalent,Accountant,Caucasian,Financial Analysts,13-2051.00
148,284377581,Approved,0,49,Female,Masters or equivalent,SUBSTITUTE TEACHER,Hispanic,"Elementary School Teachers, Except Special Education",25-2021.00
149,286678038,Approved,1,50,Female,4-year degree,senior manager,Caucasian,Technical Directors/Managers,27-2012.05
150,288842010,Approved,1,38,Male,High school/GED,IT Technician,Caucasian,Computer User Support Specialists,15-1151.00
151,290291643,Approved,0,22,Male,2-year degree,Pharmacy Technician,Caucasian,Pharmacy Technicians,29-2052.00
152,293277994,Approved,1,30,Male,4-year degree,Enrollment Counselor,Caucasian,"Education Guidance, school counselor",21-1012.00
153,293824683,Approved,0,42,Female,2-year degree,medical biller,Caucasian,Medical Biller,"43-3011.00	Bill and Account Collectors"
154,293876915,Approved,1,43,Male,4-year degree,Transit Center Manager,Caucasian,Transportation Managers,11-3071.01
155,294434001,Approved,0,27,Female,2-year degree,Box Office/Call Center,Caucasian,"Ushers, Lobby Attendants, and Ticket Takers",39-3031.00
156,295954185,Approved,1,26,Female,High school/GED,childcare provider,Caucasian,childcare worker,39-9011.00
157,296274564,Approved,1,32,Female,2-year degree,sales,Caucasian,"11-2022.00 	Sales Managers",11-2022.00
158,296868244,Approved,1,63,Female,Masters or equivalent,library assistant,Caucasian,"Library Assistants, Clerical",43-4121.00
159,297951673,Approved,1,39,Female,Masters or equivalent,teacher,Caucasian,Education,25-2022.00
160,298322535,Approved,1,47,Male,4-year degree,Logistics Director,Caucasian,Logistics Managers,11-3071.03
161,300137518,Approved,0,40,Male,Masters or equivalent,Conductor,Caucasian,Railroad Conductors and Yardmasters,53-4031.00
162,305728700,Approved,1,45,Female,4-year degree,clinical research associate,Caucasian,clinical research coordinator,11-9121.01
163,306220866,Approved,1,22,Female,High school/GED,Cashier,Asian,Cashiers,41-2011.00
164,306285278,Approved,0,28,Male,2-year degree,estimator,Caucasian,Cost Estimators,13-1051.00
165,307442538,Approved,1,26,Female,2-year degree,CSR,Caucasian,Customer Service Representative,43-4051.00
166,308757053,Approved,1,66,Female,High school/GED,administrative assistant,Caucasian,Office worker/caregiver,43-9061.00
167,308766900,Approved,1,25,Male,High school/GED,janitor,Caucasian,Janitor and cleaner,37-2011.00
168,309277655,Approved,0,25,Female,4-year degree,service coordinator,Caucasian,"Office and Administrative Support Workers, All Other",43-9199.00
169,309798126,Approved,1,45,Male,4-year degree,database administrator,Caucasian,Database Administrators,15-1141.00
170,310974892,Approved,1,46,Female,High school/GED,Special Assistant to the CEO,Caucasian,Executive Administrative Assistant,43-6011.00
171,311504089,Approved,1,25,Female,4-year degree,Judicial Clerk,Caucasian,Court Clerks,43-4031.01
172,313295044,Approved,1,31,Female,4-year degree,Administrative Specialist,Hispanic,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00
173,313386011,Approved,1,47,Female,High school/GED,pharmacy tech,Caucasian,"takes prescriptions, enter them into computer, call doctor's",29-2052.00
174,314680119,Approved,1,52,Female,4-year degree,CSR,Caucasian,Customer Service Representatives,43-4051.00
175,315360904,Approved,1,34,Female,Masters or equivalent,Fiduciary Services,Caucasian,Lawyers,23-1011.00
176,316056323,Approved,1,41,Male,Masters or equivalent,Senior Graduate Assistant,Caucasian,Graduate Teaching Assistant,25-1191.00
177,316124411,Approved,1,54,Female,High school/GED,Site Access Manager,Caucasian,General and Operations Manager,11-1021.00
178,317404118,Approved,1,42,Female,Masters or equivalent,Manager,Caucasian,social and community service managers,11-9151.00
179,318402402,Approved,1,32,Female,4-year degree,Office Manager,African American,"Office Clerks, General",43-9061.00
180,319247217,Approved,1,25,Male,2-year degree,Video production technician,Caucasian,Audio and Video Equipment Technicians,27-4011.00
181,319614723,Approved,1,33,Female,2-year degree,Customer Service Rep,Asian,Customer Service Representatives,43-4051.00
182,322147865,Approved,1,26,Female,2-year degree,Sales & Administrative Assistant,Caucasian,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00
183,325213003,Approved,1,32,Female,Masters or equivalent,Laboratory Instructor,Caucasian,Graduate Teaching Assistants,25-1191.00
184,326903836,Approved,0,25,Male,4-year degree,Software Quality Assurance,Native American,Software Quality Assurance Engineers and Testers,15-1199.01
185,328146588,Approved,1,25,Female,4-year degree,Paralegal,Caucasian,Paralegals and Legal Assistants,23-2011.00
186,330522728,Approved,0,46,Female,4-year degree,educator,Caucasian,Teacher Assistants,25-9041.00
187,331230937,Approved,1,24,Female,4-year degree,Marketing Associate,Caucasian,Market Research Analysts and Marketing Specialists,13-1161.00
188,332611826,Approved,1,28,Female,4-year degree,Reconciliation Accountant,Caucasian,"Bookkeeping, Accounting, and Auditing Clerks",43-3031.00
189,332989844,Approved,1,27,Female,High school/GED,hiring manager,Hispanic,insurance broker,43-9041.02
190,333676110,Approved,1,25,Female,4-year degree,Technician,Other:,Electronics Engineering Technicians,17-3023.01
191,334108274,Approved,1,41,Female,Masters or equivalent,assignment administrator,Caucasian,"Office and Administrative Support Workers, All Other",43-9199.00
192,334275174,Approved,1,31,Male,Masters or equivalent,financial analyst,Caucasian,Accountants,13-2011.01
193,337147531,Approved,1,26,Female,High school/GED,Customer Service Representative,Caucasian,Tellers,43-3071.00
194,337158932,Approved,1,26,Male,4-year degree,IT Customer Service Rep.,Hispanic,Customer Service Representative,43-4051.00
195,338575414,Approved,1,31,Female,High school/GED,escrow officer,Caucasian,"Title Examiners, Abstractors, and Searchers",23-2093.00
196,339811515,Approved,1,38,Female,2-year degree,Assistant,Caucasian,Teacher Assistants,25-9041.00
197,340913061,Approved,1,30,Female,2-year degree,Producer,Caucasian,Producers,27-2012.01
198,341407505,Approved,1,46,Female,4-year degree,graphic artist,African American,Graphic Designers,27-1024.00
199,345146589,Approved,1,28,Male,4-year degree,Digital Marketing,Caucasian,Marketing Manager,11-2021.00
200,345919714,Approved,1,27,Female,Masters or equivalent,Customer Service Representative,Caucasian,Customer Service Representatives,43-4051.00
201,346093224,Approved,1,29,Male,High school/GED,Restaurant Cook,Caucasian,"Cooks, Restaurant",35-2014.00
202,348828948,Approved,1,30,Female,4-year degree,Purchasing,Asian,Purchasing Managers,11-3061.00
203,349761087,Approved,0,38,Female,2-year degree,Office Manager RDA,Caucasian,Medical and Health Services Managers,11-9111.00
204,349761087,Approved,0,38,Female,2-year degree,Office Manager RDA,Caucasian,Medical and Health Services Managers,11-9111.00
205,349808348,Approved,1,31,Female,2-year degree,project manager,Caucasian,Information Technology Project Managers,15-1199.09
206,350285022,Approved,1,34,Male,Masters or equivalent,program analyst,Asian,Management Analyst,13-1111.00
207,350744401,Approved,1,35,Female,2-year degree,assistant manager,Caucasian,"Property, Real Estate, and Community Association Managers",11-9141.00
208,354094333,Approved,0,46,Male,4-year degree,Accountant,Hispanic,Accountant,13-2011.01
209,357884402,Approved,1,29,Female,4-year degree,Staff/Editorial Assistant,Caucasian,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00
210,364554211,Approved,0,21,Male,2-year degree,PIZZA DELIVERY,Caucasian,DRIVER/SALES WORKER,53-3031.00
211,365361532,Approved,1,63,Female,4-year degree,Teacher,Caucasian,"Special Education Teachers, Kindergarten and Elementary School",25-2052.00
212,366262685,Approved,0,31,Female,2-year degree,International Logistics,Caucasian,Logistics Managers,11-3071.03
213,366969430,Approved,1,23,Female,4-year degree,Academic adviser,Caucasian,"Education Administrators, Postsecondary",11-9033.00
214,369775247,Approved,1,37,Female,Masters or equivalent,Assistant Inventory Management Specialist,Caucasian,"Wholesale and Retail Buyers, Except Farm Products",13-1022.00
215,369898798,Approved,0,36,Male,2-year degree,Shift Manager,Caucasian,food service managers,11-9051.00
216,370912693,Approved,1,32,Female,4-year degree,Associate Financial Representative,Caucasian,Insurance Policy Processing Clerks,43-9041.02
217,371699470,Approved,1,34,Male,Masters or equivalent,IT Security Analyst,Native American,Information Security Analysts,15-1122.00
218,371965015,Approved,1,43,Male,2-year degree,Real Estate Agent,Hispanic,Real Estate Sales Agent,41-9022.00
