,confirmation_code,AssignmentStatus,Finished,What.is.your.age.,What.is.your.gender.,What.level.of.education.have.you.completed.,What.is.your.current.job.title.,With.which.ethnicity.do.you.most.identify.,To.give.us.this.information..take.the.following.steps..1..Click.on.the.link..www.onetonline.org.....,The.last.step.is.to.enter.the.six.to.eight.digit.code.corresponding.to.your.occupation.category....
219,372787778,Approved,1,24,Female,High school/GED,Self-employed Web Designer/Retail Store Owner,Caucasian,Web developers,15-1134.00
220,374140823,Approved,0,38,Female,Masters or equivalent,school counselor,African American,"Educational, Guidance, School, and Vocational Counselors",21-1012
221,375565620,Approved,1,30,Female,High school/GED,counter personnel,Caucasian,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",35-3022.00
222,380291919,Approved,0,42,Male,4-year degree,Meteorologist,Caucasian,Atmospheric and space scientist,19-2021.00
223,380433668,Approved,1,37,Male,High school/GED,Forester,Caucasian,Fallers,45-4021.00
224,388349367,Approved,1,39,Female,High school/GED,PC Clerk,Caucasian,"Production, Planning, and Expediting Clerks",43-5061.00
225,389248899,Approved,1,25,Male,4-year degree,Software Engineer,Caucasian,"Software Developers, Systems Software",15-1133.00
226,390001119,Approved,0,33,Female,High school/GED,Customer Service Agent,African American,Customer Service Representatives,43-4051.00
227,390319857,Approved,1,48,Male,High school/GED,telecom specialist,Caucasian,"Telecommunications Equipment Installers and Repairers, Except Line Installers",49-2022.00
228,391764692,Approved,1,53,Female,High school/GED,manager,Caucasian,Farm and Ranch Managers,11-9013.02
229,391961244,Approved,1,22,Female,High school/GED,Receptionist,Caucasian,Receptionists and Information Clerks,43-4171.00
230,393740691,Approved,0,42,Female,Masters or equivalent,Education specialist,Caucasian,Elementary school teachers,25-2021.00
231,395057970,Approved,1,32,Male,2-year degree,maintenance mechanic,Caucasian,"Maintenance Workers, Machinery",49-9043.00
232,397017517,Approved,1,36,Male,4-year degree,busser,Caucasian,Dining Room and Cafeteria Attendants and Bartender Helpers,35-9011.00
233,397078834,Approved,1,34,Male,4-year degree,Programmer,Asian,"Software Developers, Applications",15-2011.00
234,398180433,Approved,1,53,Female,Masters or equivalent,Cyber Training Specialist,Caucasian,Information Security Analysts,15-1122.00
235,398290909,Approved,0,32,Female,2-year degree,Office Manager,Caucasian,First-Line Supervisors of Office and Administrative Support Workers,43-1011.00
236,400982512,Approved,0,24,Female,4-year degree,Nanny,Caucasian,Nannies,39-9011.01
237,401029758,Approved,0,30,Female,4-year degree,Self employed,Caucasian,"Bookkeeping, Accounting, and Auditing Clerks",43-3031.00
238,401298694,Approved,1,51,Male,2-year degree,Flight Data Specialist,Caucasian,Air Traffic Controllers,53-2021.00
239,401680092,Approved,1,25,Female,2-year degree,Medical Assistant,Caucasian,Medical Assistant,31-9092.00
240,406475235,Approved,1,36,Female,Ph.D. or equivalent,Self-employed ecommerce business owner,Caucasian,Online Merchants,13-1199.06
241,410852668,Approved,1,36,Male,4-year degree,sales reo,Caucasian,https://www.onetonline.org/find/match/20/41-2031.00?s=sales,41-2031.00
242,412977616,Approved,1,37,Male,4-year degree,Lab tech,Caucasian,Medical and Clinical Laboratory Technologists,29-2011.00
243,413244332,Approved,1,64,Female,4-year degree,medical practice manager,Caucasian,Medical and Health Services Managers,11-9111.00
244,413373815,Approved,1,41,Female,4-year degree,Nursing,Caucasian,Registered Nurses,29-1141.00
245,416351183,Approved,1,39,Male,High school/GED,manager,Caucasian,Food Service Managers,11-9051.00
246,416904791,Approved,1,52,Female,2-year degree,Front Office Assistant,Caucasian,Customer Service Representatives,43-4051.00
247,418623265,Approved,1,28,Male,4-year degree,sales manager,Caucasian,sales managers,11-2022.00
248,422805271,Approved,0,36,Female,2-year degree,Horticulture technician,Caucasian,Nursery Workers,45-2092.01
249,426602121,Approved,1,30,Male,4-year degree,Cashier,Caucasian,Cashiers,41-2011.00
250,426723812,Approved,0,24,Female,Masters or equivalent,HRIS,Caucasian,Industrial-Organizational Psychologists,19-3032.00
251,427867233,Approved,1,24,Female,4-year degree,Student Professional Worker I,African American,"Information and Record Clerks, All Other",43-4199.00
252,428088615,Approved,1,23,Male,Masters or equivalent,Accountant,Hispanic,Accountants,13-2011.01
253,428904638,Approved,1,39,Male,4-year degree,Senior Accountant,Caucasian,Accountants,13-2011.01
254,429814255,Approved,1,33,Female,4-year degree,medicaid analyst,Caucasian,"eligibility interviewer, government programs",43-4061.00
255,430352410,Approved,1,38,Male,2-year degree,Retail Store Manager,Caucasian,First Line Supervisors Of Retail Sales Workers,41-1011.00
256,430499142,Approved,1,35,Female,High school/GED,Administrative assistant,Caucasian,"Office clerks, general",43-9061.00
257,437626036,Approved,1,36,Female,High school/GED,Teacher Assistant,Caucasian,Teacher Assistant,25-9041.000
258,437648509,Approved,1,30,Female,4-year degree,Administrative Assistant,Hispanic,Executive Secretaries and Executive Administrative Assistants,43-6011.00
259,438466328,Approved,1,31,Female,4-year degree,Senior Lending Assistant,Caucasian,Loan Counselors,13-2071.01
260,440176668,Approved,1,29,Female,4-year degree,testing center administrator,Caucasian,"Education Administrators, Postsecondary",11-9033.00
261,440682653,Approved,1,25,Female,High school/GED,associate,Caucasian,waitress,35-3031.00
262,441299380,Approved,1,36,Female,4-year degree,IT,Caucasian,Computer User Support Specialists,15-1151.00
263,441339869,Approved,0,31,Female,High school/GED,Call center rep,Caucasian,Customer Service Representatives,43-4051.00
264,442662143,Approved,1,36,Female,Masters or equivalent,Director of Youth & Young Adult Ministry,Caucasian,"Directors, Religious Activities and Education",21-2021.00
265,443842103,Approved,1,50,Female,4-year degree,Special Ed Teacher,African American,"Special Education Teachers, Kindergarten and Elementary School",25-2052.00
266,445175512,Approved,1,24,Female,4-year degree,Applications Specialist,Caucasian,Computer User Support Specialists,15-1151.00
267,446925824,Approved,1,40,Female,2-year degree,health,Hispanic,Radiologic Technicians,29-2099.06
268,447118311,Approved,1,53,Female,2-year degree,administrative assistant,Caucasian,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00
269,449516797,Approved,0,48,Female,4-year degree,accounting mgr,Other:,accountants,13-2011.01
270,450860782,Approved,1,31,Male,4-year degree,Associate Sales Manager,African American,Sales Managers,11-2022.00
271,451041485,Approved,1,33,Female,Masters or equivalent,marketing manager,Caucasian,Marketing Managers,11-2021.00
272,451443864,Approved,1,43,Male,4-year degree,Retail Store Manager,African American,General and Operations Managers,11-1021.00
273,453498344,Approved,1,24,Female,2-year degree,Manager,Caucasian,Human Resources Managers,11-3121.00
274,456607277,Approved,1,27,Male,4-year degree,analyst,Caucasian,,
275,457620315,Approved,1,66,Female,2-year degree,caregiver/administrative assistant,Caucasian,Childcare worker,39-9011.00
276,458151949,Approved,1,49,Female,4-year degree,self-employed business owner,Caucasian,sales managers,11-2022.00
277,461318288,Approved,0,21,Female,2-year degree,Medical Scribe,Caucasian,Medical Transcriptionists,31-9094.00
278,463462509,Approved,1,31,Male,4-year degree,Network Technician,Caucasian,Network and Computer Systems Administrators,15-1142.00
279,465876639,Approved,0,36,Female,High school/GED,Construction Project Manager,Caucasian,Construction Managers,11-9021.00
280,467552287,Approved,1,32,Female,Masters or equivalent,Paralegal supervisor,Caucasian,Paralegals and Legal Assistants,23-2011.00
281,467801927,Approved,0,31,Female,High school/GED,cashier,Hispanic,"Cooks, Fast Food",35-2011.00
282,469238382,Approved,1,32,Female,Masters or equivalent,Network Administrator,Native American,Network and Computer Systems Administrators,15-1142.00
283,471195114,Approved,0,30,Female,High school/GED,Associate buyer,Caucasian,Online Merchants,13-1199.06
284,471651901,Approved,1,38,Male,4-year degree,senior mathematician,Caucasian,Mathematicians,15-2021.00
285,471717393,Approved,1,39,Female,2-year degree,Pediatric Home Health Nurse,Caucasian,Registered Nurse,29-1141.00
286,471893720,Approved,1,37,Male,Ph.D. or equivalent,Senior Research Scientist,Caucasian,Biologist,19-1020.01
287,472932751,Approved,1,24,Female,2-year degree,Home health aid,African American,Home Health Aides,31-1011.00
288,474181263,Approved,1,29,Male,4-year degree,Engineer,Asian,Electrical Engineers,17-2071.00
289,476074961,Approved,1,38,Female,2-year degree,Sales Director,Caucasian,real estate sales agents,41-9022.00
290,476121323,Approved,1,36,Female,High school/GED,Service Specialist,Caucasian,Customer Service Representatives,43-4051.00
291,476297590,Approved,1,23,Female,4-year degree,Research assistant,Hispanic,Graduate teaching assistant,25-1191.00
292,476357436,Approved,1,42,Female,4-year degree,Cataloging associate,Caucasian,Library Technicians,25-4031.00
293,476491193,Approved,0,18,Male,High school/GED,Dishwasher,Caucasian,Dishwashers,35-9021.00
294,476998358,Approved,0,37,Female,Masters or equivalent,business operations specialist,Caucasian,Insurance agents,41-3021.00
295,478395725,Approved,1,31,Female,Masters or equivalent,Regional Program Coordinator,Caucasian,Fitness and Wellness Coordinators,11-9039.02
296,480240563,Approved,1,40,Male,High school/GED,Supervisor,Caucasian,Plumber,47-2152.02
297,480803627,Approved,0,55,Female,High school/GED,Administrative Assistant,Caucasian,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00
298,481658753,Approved,1,39,Female,4-year degree,Clerk,Caucasian,"Office Clerks, General",43-9061.00
299,483820856,Approved,0,27,Female,2-year degree,Editorial Assistant,Caucasian,Reporters and Correspondents,27-3022.00
300,484136237,Approved,1,39,Female,Masters or equivalent,Career Navigator,Caucasian,"Educational, Guidance, School, and Vocational Counselors",21-1012.00
301,484934804,Approved,1,36,Female,4-year degree,manager,Caucasian,"Office Clerks, General",43-9061.00
302,489328536,Approved,1,35,Female,High school/GED,Secretary,Caucasian,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00
303,490253155,Approved,1,34,Male,High school/GED,Logistics Specialist,Caucasian,Logistics Analysts,13-1081.02
304,493678909,Approved,0,38,Female,Ph.D. or equivalent,Math Instructor,Caucasian,"Mathematical Science Teachers, Postsecondary",25-1022.00
305,495085721,Approved,1,28,Female,Masters or equivalent,Legislative Aide,Caucasian,"Legal Support Worker, All others",23-2099.00
306,498571292,Approved,1,29,Female,High school/GED,Technical Support,Caucasian,Computer User Support Specialists,15-1151.00
307,498868941,Approved,1,37,Male,4-year degree,QA Rep,Caucasian,"Quality Control Analysts, Tasks",19-4099.01
308,506831475,Approved,1,21,Male,4-year degree,Machine Technician,Asian,machine technician,51-4041.00
309,508183814,Approved,0,33,Female,4-year degree,Client Services Manager,Caucasian,Sales Managers,11-2022.00
310,509441458,Approved,1,26,Female,Masters or equivalent,Compliance Analyst,Asian,Quality Control Analysts,19-4099.01
311,509536122,Approved,1,62,Female,4-year degree,Nurse Aide,Caucasian,Nursing Assistants,31-1014.00
312,510472162,Approved,1,27,Female,Masters or equivalent,Social Worker,Caucasian,Community and social services,21-1029
313,511176811,Approved,1,22,Female,High school/GED,artist,Caucasian,Craft Artists,27-1012.00
314,514234091,Approved,1,35,Female,4-year degree,Clinical Trial Associate,Caucasian,Clinical Research Coordinators,11-9121.01
315,516303294,Approved,1,26,Male,4-year degree,Supervisor of Call Services,Caucasian,First-Line Supervisors of Office and Administrative Support Workers,43-1011.00
316,518250983,Approved,1,33,Female,4-year degree,Victim Witness Advocate,Caucasian,Protective Service Worker,33-9099.00
317,519869803,Approved,0,26,Female,4-year degree,Audi Brand Specialist,Asian,Demonstrators and Product Promoters,41-9011.00
318,522955929,Approved,1,28,Female,4-year degree,It tech,Caucasian,It technology project manager,15-1199.09
319,524643367,Approved,1,58,Female,4-year degree,Customer service agent,Caucasian,"13-1031.01 - Claims Examiners, Property and Casualty Insurance",13-1031.01
320,526750616,Approved,1,44,Female,4-year degree,Maid,African American,Maids and Housekeeping Cleaners,37-2012.00
321,527691040,Approved,1,47,Female,High school/GED,HR Manager,Caucasian,Human Resources Managers,11-3121.00
322,530054915,Approved,1,28,Other,2-year degree,Bakery associate,Caucasian,Food Preparation Workers,35-2021.00
323,531274463,Approved,1,34,Male,4-year degree,Marketing Director,Asian,marketing manager,11-2021.00
324,531630195,Approved,1,51,Female,2-year degree,desk clerk/ manager on duty,Caucasian,hotel motel resort  desk clerk,43-4081.00
325,532505622,Approved,1,36,Female,High school/GED,cs rep,Caucasian,customer service representatives,43-4051.00
326,534511957,Approved,1,24,Male,Masters or equivalent,Academic Support Specialist,Caucasian,Tutor,25-3099.02
327,536467494,Approved,1,22,Male,2-year degree,editor,Caucasian,welder,51-4121.06
328,537392730,Approved,1,26,Female,4-year degree,Office manager,Hispanic,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00
329,538576467,Approved,1,35,Female,2-year degree,Legal Assistant,Caucasian,Paralegals and Legal Assistants,23-2011.00
330,540018177,Approved,1,51,Female,2-year degree,catering sales,Caucasian,Executive Secretaries and Executive Administrative Assistants,43-6011.00
331,541504224,Approved,1,27,Female,2-year degree,nurse,Caucasian,Nursing Assistants,31-1014.00
332,542005942,Approved,1,27,Female,4-year degree,Account Coordinator,Other:,Copy Writers,27-3043.04
333,542674688,Approved,1,59,Female,2-year degree,Paraprofessional,Caucasian,Teacher Assistant,25-9041.00
334,545392114,Approved,1,38,Male,High school/GED,Parking Deck Attendant,African American,Parking Lot Attendants,53-6021.00
335,545981931,Approved,1,52,Female,4-year degree,farm laborer,Caucasian,"Farmworkers, Farm, Ranch, and Aquacultural Animals",45-2093.00
336,546226499,Approved,1,51,Female,2-year degree,Lead Cook,Caucasian,Chefs and Head Cooks,35-1011.00
337,546387273,Approved,0,44,Male,High school/GED,Senior Web Developer,Caucasian,Web-Developer,15-1134.00
338,547744269,Approved,1,26,Female,High school/GED,assistant teacher,Caucasian,childcare worker,39-9011
339,551025263,Approved,1,29,Male,4-year degree,Nonprofit Director,Caucasian,Social and Community Service Managers,11-9151.00
340,551348761,Approved,1,28,Female,High school/GED,dispatch supervisor,Caucasian,"First-Line Supervisors of Mechanics, Installers, and Repairers",49-1011.00
341,555992115,Approved,1,25,Female,2-year degree,Sales Associate,Caucasian,Retail Salesperson,41-2031.00
342,557876212,Approved,1,20,Male,High school/GED,Event Staff,Caucasian,"Ushers, Lobby Attendants and Ticket Takers",39-3031.00
343,559107061,Approved,1,36,Female,2-year degree,Medical Transcription Assistant,Caucasian,Medical Transcriptionists,31-9094.00
344,559151576,Approved,1,29,Female,High school/GED,Payroll Administrator,Caucasian,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive Bright Outlook",43-6014.00
345,560765497,Approved,1,29,Female,4-year degree,Server,Caucasian,Waiters and Waitresses,35-3031.00
346,563061135,Approved,1,34,Female,Masters or equivalent,Director,Caucasian,"Education Administrators, Postsecondary",11-9033.00
347,564335909,Approved,1,32,Male,High school/GED,Products Coordinator,Caucasian,Storage and Distribution Managers,11-3071.02
348,564716563,Approved,0,47,Female,2-year degree,Social Media Eval,Caucasian,social science research assistance,19-4061.00
349,565603271,Approved,1,84,Female,Masters or equivalent,Project Director:  Employee Training and Development,Caucasian,project director,11-9199.00
350,567034740,Approved,1,26,Male,4-year degree,Graduate Engineer,Caucasian,Civil Engineers,17-2051.00
351,570091184,Approved,1,21,Female,4-year degree,purchasing agent,Caucasian,Purchasing Agents,13-0123
352,570887377,Approved,0,24,Female,Masters or equivalent,Teacher,African American,"Kindergarten Teachers, Except Special Education",25-2012.00
353,573303814,Approved,0,29,Female,2-year degree,community employment coordinator,Caucasian,https://www.onetonline.org/find/match/1/21-1015.00?s=Community%20Employment%20Coordinator,21-1015.00
354,574433822,Approved,1,44,Female,Masters or equivalent,supervisor,Asian,Personal Financial Advisors,13-2052.00
355,580491288,Approved,1,22,Female,4-year degree,Administrative Assistant,Caucasian,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00
356,584293823,Approved,0,39,Female,High school/GED,daycare teacher,Caucasian,Childcare worker,39-9011.00
357,585924458,Approved,0,28,Female,4-year degree,Writer,Caucasian,Writers and Authors,27-3043.00
358,586511561,Approved,0,25,Male,4-year degree,Police Officer,Caucasian,Police Patrol Officers,33-3051.01
359,588100756,Approved,1,33,Male,2-year degree,Information Technology Security Specialist,Caucasian,Information Security Analysts,15-1122.00
360,588121111,Approved,1,36,Female,4-year degree,family advocate,Caucasian,Social and human service assistants,21-1093.00
361,590111212,Approved,1,23,Male,4-year degree,Salesman,Caucasian,Retail Salespersons,41-2031.00
362,594378958,Approved,0,33,Female,High school/GED,owner,Caucasian,self enrichment education teacher,25-3021.00
363,594479226,Approved,1,65,Female,High school/GED,Real Estate Broker and Property Manager,Caucasian,"Property, Real Estate, and Community Association Managers",11-9141.00
364,594786767,Approved,1,25,Female,High school/GED,Administrative Assistant,Caucasian,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00
365,594837724,Approved,1,37,Male,4-year degree,Media Specialist,Hispanic,Audio-Visual and Multimedia Collections Specialists,25-9011.00
366,596157585,Rejected,1,25,Male,2-year degree,Advertising consultant,African American,Advertising and Promotions Managers,11-2011.00
367,596239349,Approved,1,58,Female,Masters or equivalent,paraeducator,Caucasian,Teacher Assisstant,25-9041.00
368,596311963,Approved,1,52,Male,4-year degree,Lead Quality Technician,Hispanic,Quality Systems Manager,11-3051.01
369,597579971,Approved,1,27,Female,4-year degree,Professional Home Caregiver,Caucasian,Home Health Aides,31-1011.00
370,602204866,Approved,1,30,Female,2-year degree,Paraprofessional,Hispanic,geacher assistant,25-9041.00
371,602442377,Approved,1,54,Female,4-year degree,analyst,African American,computer systems analyst,15-1121.00
372,607205300,Approved,1,21,Female,4-year degree,Administrative Support,Caucasian,Executive Secretaries and Executive Administrative Assistants,43-6011.00
373,607323655,Approved,0,42,Female,4-year degree,Advocate,Caucasian,educational advocate,21-1021.00
374,613503849,Approved,0,48,Female,High school/GED,sales associate,Caucasian,retail salesperson,41-2031.00
375,614023399,Approved,1,40,Male,4-year degree,human resources asssistant,African American,Human Resources Specialists,13-1071.00
376,614188232,Approved,1,60,Female,2-year degree,Vendor,Caucasian,41-9099.00,49-9071.00
377,614624730,Approved,0,21,Female,High school/GED,Marketing Specialist,Caucasian,Market Research Analysts and Marketing Specialists,13-1161.00
378,615522999,Approved,1,47,Female,2-year degree,Registered Nurse,Caucasian,Registered Nurses,29-1141.00
379,618971228,Approved,1,26,Male,2-year degree,network analyst,Caucasian,Network and Computer Systems Administrators,15-1142.00
380,620291453,Approved,0,28,Female,Masters or equivalent,Dental Office Manager,Caucasian,Administrative Services Managers,11-3011.00
381,620698164,Approved,1,26,Male,4-year degree,Team Leader,African American,Information Technology Project Managers,15-1199.09
382,621551484,Approved,1,37,Female,4-year degree,CUSTOMER SERVICE MANAGER,African American,CUSTOMER SERVICE REPRESENTATIVES,43-4051.00
383,624467715,Approved,0,29,Female,2-year degree,Claims Examiner,Caucasian,"Claims Adjusters, Examiners, and Investigators",13-1031.00
384,625036512,Approved,1,19,Female,High school/GED,Account Specialist,Caucasian,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4012.00
385,625966555,Approved,1,36,Female,High school/GED,movie theater concessions,Caucasian,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",35-3022.00
386,627356146,Approved,1,64,Male,High school/GED,music arranger/conductor,Caucasian,Music Composers and Arrangers,27-2041.04
387,627923383,Approved,0,54,Female,Masters or equivalent,Financial Advisor,Caucasian,Personal Financial Advisor,13-2052.00
388,629649459,Approved,1,33,Male,High school/GED,home health aide,Other:,Home Health Aides,31-1011.00
389,630215118,Approved,1,32,Female,4-year degree,sommelier,Caucasian,Food Science Technician,19-4011.02
390,638321901,Approved,1,33,Female,Masters or equivalent,Adventure Guide,Caucasian,tour guide,39-7011.00
391,638574870,Approved,1,67,Male,Ph.D. or equivalent,Owner,Caucasian,"First-Line Supervisors of Mechanics, Installers, and Repairers",49-1011.00
392,638744714,Approved,1,27,Male,4-year degree,EDITOR,Caucasian,EDITORS,27-3041.00
393,641085741,Approved,1,32,Male,High school/GED,Owner Operator,Caucasian,Heavy and Tractor-Trailer Truck Drivers,53-3032.00
394,642498045,Approved,0,36,Female,4-year degree,Analyst,Caucasian,Operations Research Analyst,15-2031.00
395,643291075,Approved,1,49,Male,4-year degree,Manufacturing Manager,Caucasian,First-Line Supervisors of Production and Operating Workers,51-1011.00
396,644489941,Approved,1,25,Female,4-year degree,Personal trainer,Caucasian,Fitness Trainers and Aerobics Instructors,39-9031.00
397,644837827,Approved,1,29,Female,4-year degree,Charge Nurse,Caucasian,Registered Nurses,29-1141.00
398,647032073,Approved,1,56,Male,4-year degree,Broadcast Coordinator,Caucasian,Technical Directors/Managers,27-2012.05
399,650567820,Approved,1,27,Female,2-year degree,Customer Service Rep,Asian,Customer Service Rep,43-4051.00
400,652576426,Approved,0,25,Male,4-year degree,Technician,Hispanic,Electronic Home Entertainment Equipment Installers and Repairers,49-2097.00
401,657106246,Approved,1,24,Female,4-year degree,Cashier,Caucasian,Cashiers,41-2011.00
402,658535400,Approved,1,61,Female,4-year degree,Administrative Assistand,Caucasian,Executive Administrative Assistant,43-6011
403,659435388,Approved,1,38,Male,High school/GED,AIX Administrator,Caucasian,15-1142.00 - Network and Computer Systems Administrators,15-1142.00
404,660425320,Approved,1,38,Female,4-year degree,Laboratory Analyst,Caucasian,Quality Control Analysts,19-4099.01
405,660435338,Approved,1,27,Female,4-year degree,Casting Associate,Caucasian,Talent Directors,27-2012.04
406,660725395,Approved,1,48,Male,High school/GED,maintenance / machinist,African American,"Maintenance and Repair Workers, General",49-9071.00
407,662827569,Approved,0,28,Female,2-year degree,Onsite Manager,Caucasian,Compliance Manager,11-9199.02
408,664144995,Approved,1,36,Male,2-year degree,Consultant,Caucasian,"Computer, Other",15-1199.00
409,665354828,Approved,1,37,Female,4-year degree,Designer,Caucasian,Desktop publisher,43-9031.00
410,665783941,Approved,1,32,Female,4-year degree,microbiologist,Caucasian,Microbiologists,19-1022.00
411,667221543,Approved,1,34,Female,4-year degree,paralegal,Caucasian,paralegal,23-2011.00
412,668191997,Approved,0,32,Female,2-year degree,Assistant manager,Caucasian,"Stock Clerks- Stockroom, Warehouse, or Storage Yard Sales and Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",43-5081.03 and 41-4012.00
413,669015168,Approved,1,25,Female,Masters or equivalent,Kindergarten Aide,Caucasian,Teacher Assistants,25-9041.00
414,669438523,Approved,1,21,Female,2-year degree,student,Hispanic,bartenders,35-3011.00
415,671558517,Approved,1,24,Female,2-year degree,Web Designer,Caucasian,Web Developer,15-1134.00
416,672647964,Approved,1,24,Female,4-year degree,Salesperson,Caucasian,Retail Salesperson,41-2031.00
417,673934867,Approved,1,61,Female,2-year degree,retail sales customer service,Caucasian,Retail Salespersons,41-2031.00
418,674600633,Approved,1,53,Female,Ph.D. or equivalent,Director,Caucasian,#NAME?,11-9033.00
419,675100623,Approved,1,41,Female,High school/GED,Services,Caucasian,Maids and Housekeeping Cleaners,37-2012.00
420,675151134,Approved,1,42,Female,4-year degree,Registered Nurse,Caucasian,Critical Care Nurse,29-1411.03
421,676529416,Approved,1,27,Male,High school/GED,Meat Clerk,Caucasian,Food Preparation Workers,35-2021.00
422,676806001,Approved,1,63,Male,2-year degree,Operations Manager,Caucasian,General and Operations Manager,11-1021
423,677051208,Approved,1,40,Female,4-year degree,account specialist 3,Caucasian,Customer Service Representatives,43-4051.00
424,678114415,Approved,1,56,Male,Masters or equivalent,Adjunct Instructor,Caucasian,Fitness Instructor,39-9031.00
425,679136515,Approved,0,42,Male,4-year degree,video coordinator,Caucasian,Coaches and Scouts,27-2022.00
426,680810948,Approved,1,43,Female,4-year degree,Behavior Interventionist,Caucasian,mental health counselor,21-1014.00
427,682016506,Approved,1,26,Male,4-year degree,Network and System Administrator,Caucasian,Network and Computer Systems Administrators,15-1142.00
428,682682457,Approved,1,30,Male,4-year degree,Laboratory director,Caucasian,https://www.onetonline.org/link/summary/29-2011.00,29-2011.00
429,682712969,Approved,1,29,Male,4-year degree,Software Engineer,Caucasian,"Software Developers, Systems Software",15-1133.00
430,683055467,Approved,0,54,Female,Masters or equivalent,Teacher,Caucasian,Secondary school teacher,25-2031.00
431,685532683,Approved,1,45,Female,4-year degree,executive assistant,Caucasian,Executive Secretaries and Executive Administrative Assistants,43-6011.00
432,685770679,Approved,0,25,Female,4-year degree,cashier,Caucasian,cashiers,41-2011.00
433,687454389,Approved,1,32,Female,4-year degree,activity coordinator,Caucasian,Recreation Workers,39-9032.00
434,687512671,Approved,1,28,Female,4-year degree,Digital content manager,Caucasian,Marketing managers,11-2021.00
435,687869962,Approved,1,30,Female,High school/GED,Administrative Assistant,Caucasian,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00
436,692890880,Approved,1,33,Female,4-year degree,Finance Analyst,Caucasian,Financial Analysts,13-2051.00
437,695643350,Approved,1,36,Male,4-year degree,banker,Caucasian,"Financial Managers, Branch or Department",11-3031.02
438,696344022,Approved,1,25,Male,High school/GED,CSR,Caucasian,Data entry,43-9021.00
