,confirmation_code,AssignmentStatus,Finished,What.is.your.age.,What.is.your.gender.,What.level.of.education.have.you.completed.,What.is.your.current.job.title.,With.which.ethnicity.do.you.most.identify.,To.give.us.this.information..take.the.following.steps..1..Click.on.the.link..www.onetonline.org.....,The.last.step.is.to.enter.the.six.to.eight.digit.code.corresponding.to.your.occupation.category....
439,697890603,Approved,0,36,Female,Masters or equivalent,Director of Operations,Caucasian,Administrative Services Managers,11-3011.00
440,698483944,Approved,1,33,Female,4-year degree,manager,Caucasian,"Bookkeeping, Accounting, and Auditing Clerks",43-3031.00
441,700790935,Approved,1,33,Male,4-year degree,Senior Client Support Specialist,Caucasian,Computer User Support Specialists,15-1151.00
442,704831897,Approved,0,52,Female,Masters or equivalent,apparel manager,Caucasian,retail salesperson,41-2031.00
443,705964072,Approved,1,48,Female,High school/GED,Financial Analyst,Caucasian,Accountants,13-2011.01
444,706260952,Approved,1,41,Female,High school/GED,Publisher,Caucasian,Editors,27-3041.00
445,707203716,Approved,1,57,Female,4-year degree,Office Manager,Hispanic,First-Line Supervisors of Office and Administrative Support Worker,43-1011.00
446,709982646,Approved,1,45,Female,High school/GED,Caregiver,Caucasian,Personal Care Aides,39-9021.00
447,711349299,Approved,1,40,Female,4-year degree,"Assistant Manager, Publishing Logistics",Caucasian,Logistics Managers,11-3071.03
448,711542313,Approved,1,33,Female,4-year degree,merchandise specialist,Caucasian,Logistics Analysts,13-1081.02
449,719234526,Approved,1,33,Female,High school/GED,cashier,Hispanic,Cashiers,41-2011.00
450,719447357,Approved,1,44,Female,4-year degree,Correctional Program Specialist,Caucasian,Corrections/Jailers,33-3012.00
451,719613526,Approved,1,59,Female,2-year degree,Medical Records Technician,Caucasian,Medical Records and Health Information Technicians,29-2071.00
452,720003841,Approved,1,40,Male,4-year degree,consultant,Asian,Software Quality Assurance Engineer,15-1199.01
453,720092497,Approved,1,26,Female,2-year degree,Receptionist,Caucasian,Receptionists and Information Clerks,43-4171.00
454,720821052,Approved,1,71,Female,Masters or equivalent,Cruise Sales,Caucasian,Travel Agents,41-3041.00
455,721771293,Approved,1,24,Female,4-year degree,Legal Assistant,Caucasian,Paralegals and Legal Assistants,23-2011
456,723494942,Approved,1,26,Male,4-year degree,Surgical Assistant,Caucasian,https://www.onetonline.org/link/summary/29-2099.07,29-2099.07
457,724281981,Approved,1,26,Female,2-year degree,vet tech,Caucasian,Veterinary Technologists and Technicians,29-2056.00
458,726381652,Approved,1,30,Male,2-year degree,Business Development Manager,Caucasian,Sales Mangers,11-2022.00
459,729529906,Approved,1,22,Female,High school/GED,cashier,Caucasian,Cashiers,41-2011.00
460,729647666,Approved,1,39,Male,4-year degree,IT Manager,Hispanic,Information Technology Project Managers,15-1199.09
461,730238991,Approved,1,31,Female,4-year degree,Independent Living Specialist,Caucasian,Residential Advisors,39-9041.00
462,731633196,Approved,1,36,Male,High school/GED,Maintenance supervisor,Caucasian,"First-Line Supervisors of Mechanics, Installers, and Repairers",49-1011.00
463,737748404,Approved,1,25,Male,2-year degree,administrator,Caucasian,Database Administrators,43-1011.00
464,743219988,Approved,1,52,Male,Masters or equivalent,"Associate Director, Finance Training",Caucasian,Training  and Development Manager,11-3131.00
465,743300870,Approved,1,33,Male,4-year degree,writer,Caucasian,Copy Writers,27-3043.04
466,745297325,Approved,0,63,Male,4-year degree,Teacher,Caucasian,Middle School Teacher,25-2022-00
467,747529456,Approved,1,35,Female,4-year degree,Personal Banker,Caucasian,Personal Financiak Advisor,13-2052.00
468,749537706,Approved,0,29,Male,2-year degree,IT Consultant Manager,Caucasian,Information Technology Project Managers,15-1199.09
469,750770759,Approved,1,43,Female,2-year degree,Administrative Assistant,Caucasian,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00
470,751446771,Approved,1,27,Female,2-year degree,software associate,Caucasian,Software Developer,15-1133.00
471,753770727,Approved,1,43,Male,2-year degree,Job Counselor,Caucasian,Rehabilitation Counselors,21-1015.00
472,754254543,Approved,1,40,Male,4-year degree,sr. manager,Caucasian,Medical and Health Services Managers,11-9111.00
473,754762487,Approved,1,38,Female,High school/GED,Pet care provider,Caucasian,Nonfarm animal caretakers,39-2021.00
474,757424791,Approved,1,27,Female,4-year degree,Nursery attendant,Caucasian,Childcare Workers,39-9011.00
475,758713118,Approved,1,23,Female,4-year degree,Software Developer,Caucasian,Software Developer,15-1133.00
476,761911128,Approved,1,28,Male,Masters or equivalent,Data Analyst,Caucasian,"Environmental Scientists and Specialists, Including Health",19-2041.00
477,763074579,Approved,1,45,Male,4-year degree,barista,Caucasian,Barista,35-3022.01
478,763842838,Approved,1,46,Female,Masters or equivalent,skydiving instructor,Caucasian,"Entertainers and Performers, Sports and Related Workers, All Other",27-2099.00
479,766848032,Approved,1,39,Female,4-year degree,Teachers Aide,Caucasian,Teachers Assistant,25-9041.00
480,766884057,Approved,1,23,Male,4-year degree,maintenance,Asian,Maintenance worker,37-3019.00
481,769309215,Approved,0,30,Female,High school/GED,patient services clerk,Caucasian,Receptionists and Information Clerks,43-4171.00
482,769837854,Approved,0,24,Male,4-year degree,911 dispatcher,Caucasian,"Police, Fire, and Ambulance Dispatchers",43-5031.00
483,771453282,Approved,1,25,Male,High school/GED,Customer Associate,Caucasian,cashier,41-2011.00
484,775466925,Approved,0,31,Female,4-year degree,consultant,Caucasian,"Business Operations Specialists, All Other",13-1199.00
485,776781811,Approved,1,56,Female,2-year degree,graphic designer,Caucasian,Graphic Designers,27-1024.00
486,778678741,Approved,1,30,Female,Masters or equivalent,Financial Adviser,Native American,Financial Analysts,13-2051.00
487,779504967,Approved,1,31,Female,4-year degree,sales manager,Caucasian,Sales Manager,11-2022.00
488,781454073,Approved,1,29,Female,High school/GED,Caseworker,Caucasian,"Eligibility Interviewers, Government Programs",43-4061.00
489,782480846,Approved,1,38,Female,2-year degree,Legal Assistant,Caucasian,Legal Secretaries,43-6012.00
490,782669578,Approved,1,27,Male,Masters or equivalent,TEACHER,Hispanic,MIDDLE SCHOOL TEACHERS,25-2022.00
491,787539371,Approved,0,32,Male,High school/GED,Floor Lead,Caucasian,"Managers, All Other",11-9199.00
492,789734333,Approved,0,38,Female,4-year degree,Human Resource Director,Other:,Human Resources Specialists Bright Outlook,13-1071.00
493,793959903,Approved,1,31,Female,2-year degree,Heath Info Management Tech,Caucasian,Medical Records and Health Information Technicians,29-2071.00
494,795432664,Approved,1,51,Male,4-year degree,Computer Technician,Caucasian,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",49-2094.00
495,795879234,Approved,1,69,Female,4-year degree,cashier,Caucasian,Cashiers,41-2011.00
496,796128071,Approved,1,27,Female,4-year degree,Senior Technical Executive,Asian,Telecommunications Engineering Specialists,15-1143.01
497,797966759,Approved,1,31,Female,Masters or equivalent,research specialist,Caucasian,"Social Scientists and Related Workers, All Other",19-3099.00
498,800101134,Approved,0,20,Male,High school/GED,Delivery Driver,Caucasian,Driver/Sales Workers,53-3031.00
499,807102470,Approved,1,21,Female,2-year degree,accounting assistant,Caucasian,"Bookkeeping, Accounting, and Auditing Clerks",43-3031.00
500,807911911,Approved,1,49,Female,4-year degree,administrative assistant,Caucasian,administrative assistant,43-6014.00
501,810283312,Approved,0,22,Female,4-year degree,Float teller,Caucasian,Tellers,43-3071.00
502,810596605,Approved,1,29,Female,4-year degree,Retail manager,Caucasian,First-Line Supervisors of Retail Sales Workers,41-1011.00
503,811670495,Approved,1,40,Female,4-year degree,Artistic Director,Caucasian,Art Director,27-1011.00
504,812494407,Approved,1,39,Female,High school/GED,Team Leader,Caucasian,Sales Managers,11-2022.00
505,815008537,Approved,1,30,Female,2-year degree,Barista,Hispanic,Barista,35-3022.01
506,815266760,Approved,0,45,Female,4-year degree,Insurance Manager,Caucasian,Medical Secretary,43-6013.00
507,815636848,Approved,1,39,Female,4-year degree,Administrative Assistant,African American,Executive Secretaries and Executive Administrative Assistants,43-6011.00
508,817088282,Approved,0,44,Male,High school/GED,Corporate Trainer,Caucasian,Training and Development Specialists,13-1151.00
509,819435600,Approved,1,22,Female,High school/GED,General Manager,Caucasian,General and Operations Managers,11-1021.00
510,821939259,Approved,1,31,Male,4-year degree,Administrative Assistant,Caucasian,Executive Secretaries and Executive Administrative Assistants,43-6011.00
511,822590269,Approved,1,32,Female,4-year degree,Secretary,African American,Medical Secretaries,43-6013.00
512,828954045,Approved,1,48,Female,High school/GED,Manager,Caucasian,"Financial Managers, Branch or Department",11-3031.02
513,831798305,Approved,1,41,Male,2-year degree,Car Maintence,African American,Cleaners of Vehicles and Equipment,53-7061.00
514,832736911,Approved,1,46,Male,4-year degree,Accountant,Hispanic,Accountants,13-2011.01
515,833475834,Approved,1,23,Female,2-year degree,Lifeguard,Caucasian,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-9092.00
516,834727685,Approved,0,53,Female,Masters or equivalent,HR Manager,Caucasian,11-9199.02,11-9199.02
517,839863329,Approved,1,36,Female,Masters or equivalent,pharmacist,Caucasian,Pharmacists,29-1051.00
518,840688082,Approved,1,50,Female,High school/GED,Secretary,Caucasian,Legal Secretaries,43-6012.00
519,841041323,Approved,0,45,Male,4-year degree,Aircraft maintenance technician,Caucasian,Aircraft Mechanics and Service Technicians,49-3011.00
520,841191773,Approved,0,24,Male,High school/GED,Landscaper,Caucasian,Landscaping and Groundskeeping Workers,37-3011.00
521,841800445,Approved,1,24,Male,4-year degree,Team Lead,Caucasian,Information Technology Project Managers,15-1199.09
522,843538511,Approved,1,34,Female,2-year degree,Customer service,African American,Customer service representative,43-4051.00
523,844419740,Approved,1,35,Male,High school/GED,cook/manager,Caucasian,chefs and head cooks,35-1011.00
524,845093797,Approved,0,37,Male,2-year degree,IT Manager,Caucasian,Information Technology Project Managers,15-1199.09
525,845923490,Approved,0,23,Female,2-year degree,computer software engineer,Caucasian,Computer Programmers,15-1131.00
526,847059869,Approved,1,39,Female,4-year degree,cpa,Caucasian,Accountants,13-2011.01
527,856027939,Approved,1,53,Female,High school/GED,Property Manager,Hispanic,"Property, Real Estate, and Community Association Managers",11-9141.00
528,856212510,Approved,1,50,Male,High school/GED,Account Executive,Caucasian,"Sales Representatives, Services, All Other",41-3099.00
529,858178727,Approved,1,61,Female,4-year degree,ASSISTANT DIRECTOR OF PUBLIC LIBRARY,Caucasian,Librarian,25-4021.00
530,858573327,Approved,1,49,Female,4-year degree,Teacher,African American,"Elementary School Teachers, Except Special Education",25-2021.00
531,859457247,Approved,1,30,Female,2-year degree,Assistant Site Supervisor,Caucasian,Child Care Worker,39-9011.00
532,860238404,Approved,1,48,Female,Masters or equivalent,Project Management Consultant,Caucasian,Information Technology Project Managers,15-1199.09
533,860612831,Approved,1,26,Female,4-year degree,editor,Hispanic,"Special Education Teachers, Preschool",25-2051.00
534,862261894,Approved,0,28,Female,4-year degree,Manager,Caucasian,"21-1012.00	Educational, Guidance, School, and Vocational Counselors",21-1012.00
535,863871146,Approved,1,26,Male,High school/GED,Warehouse Shipping,Caucasian,"Order Fillers, Wholesale and Retail Sales",43-5081.04
536,864991820,Approved,1,26,Male,High school/GED,machine operator,Caucasian,"Paper Goods Machine Setters, Operators, and Tenders",51-9196.00
537,866372765,Approved,0,25,Female,High school/GED,Pharmacy Technician,Caucasian,Pharmacy Technicians,29-2052.00
538,868091285,Approved,0,56,Female,Masters or equivalent,academic advisor,Caucasian,"education administrators, post secondary",11-9033.00
539,873460246,Approved,1,49,Female,4-year degree,manager,Caucasian,Sales Manager,11-2022.00
540,873880096,Approved,0,36,Female,Masters or equivalent,Attorney,Caucasian,Lawyers,23-1011.00
541,877689834,Approved,1,25,Male,2-year degree,Sales Rep,African American,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4012.00
542,881075538,Approved,1,27,Female,High school/GED,Receiving associate,African American,Order clerk,43.4151.00
543,881813911,Approved,1,37,Male,4-year degree,Purchasing manager,Caucasian,Purchasing manager,11-3061.00
544,884234283,Approved,1,58,Female,4-year degree,office manager,Caucasian,Medical and Health Service Manager,11-9111.00
545,884242079,Approved,1,29,Female,High school/GED,Dog breeder,Caucasian,Animal Breeder,45-2021.00
546,886236070,Approved,1,42,Male,Masters or equivalent,housing coordinator,African American,Mental Health and Substance Abuse Social Workers,21-1023.00
547,886365322,Approved,1,39,Female,4-year degree,Kitchen manager,Caucasian,"Cooks, institution, chef",35-2012.00
548,886716593,Approved,1,37,Male,Masters or equivalent,Healthcare worker,Caucasian,Nursing Assistants,31-1014.00
549,890352035,Approved,1,18,Female,4-year degree,Teacher,Caucasian,"Special Education Teachers, Middle School",25-2053.00
550,890708583,Approved,1,26,Female,4-year degree,session assistant,Asian,Physician Assistants,29-1071.00
551,890968957,Approved,1,27,Female,4-year degree,baker,Caucasian,Bakers,51-3011.00
552,896119303,Approved,1,55,Male,4-year degree,Law Librarian,Caucasian,Librarian,25-4021.00
553,897112488,Approved,1,57,Female,2-year degree,Bartender - daytime,Caucasian,Bartender,35-3011.00
554,897703310,Approved,1,49,Male,4-year degree,Training Manager,Caucasian,Training and Development Managers,11-3131.00
555,900059832,Approved,0,32,Female,High school/GED,manager,Caucasian,Logistics Managers,11-3071.03
556,901953302,Approved,1,46,Male,2-year degree,Lead Cashier,African American,cashiers,41-2011.00
557,902706725,Approved,0,35,Female,4-year degree,Executive Assistant,Caucasian,Executive Secretaries and Executive Administrative Assistant,43-6011.00
558,902711932,Approved,1,35,Male,2-year degree,Warehouse Manager,Caucasian,Storage and Distribution Managers,11-3071.02
559,906723833,Approved,1,26,Female,Masters or equivalent,Academic Advisor,Caucasian,"Educational, Guidance, School, and Vocational Counselors",21-1012.00
560,906924537,Approved,1,38,Male,2-year degree,Sales Associate,Caucasian,Retail Salespersons,41-2031.00
561,908903245,Approved,1,32,Male,2-year degree,Retail Manager,Caucasian,Sales Manager,11-2022.00
562,909166715,Approved,1,28,Female,Masters or equivalent,UX Researcher,Caucasian,Software Quality Assurance Engineers and Testers,15-1199.01
563,909749904,Approved,0,20,Male,2-year degree,Bouner,Caucasian,Security Guards,33-9032.00
564,910876099,Approved,1,41,Female,4-year degree,Design and construction project manager,Caucasian,Construction Manager,11-9021.00
565,913120123,Approved,0,22,Female,High school/GED,Elite Notetaker,Caucasian,"Production, Planning, and Expediting Clerks",43-5061.00
566,915152517,Approved,1,46,Female,High school/GED,financial counselor,Caucasian,Bill and account collectors,43-3011.00
567,917189427,Approved,1,26,Female,4-year degree,Medical Assistant,Caucasian,Medical Assisstants,31-9092.00
568,917189427,Approved,1,26,Female,4-year degree,Medical Assistant,Caucasian,Medical Assisstants,31-9092.00
569,918996825,Approved,0,53,Male,High school/GED,Customer Service rep,African American,customer service representatives,43-4051.00
570,920020560,Approved,0,25,Male,4-year degree,qa tester,Caucasian,Software Quality Assurance Engineers and Testers,15-1199.01
571,921506498,Approved,1,27,Male,4-year degree,manager,Caucasian,Financial Managers,11-3031.02
572,921896008,Approved,1,30,Female,High school/GED,Intervention Assistant,Caucasian,Teacher Assistant,25-9041.00
573,924852549,Approved,1,42,Male,4-year degree,Claims analyst,Caucasian,Claims analyst,25-1011.00
574,926390204,Approved,0,58,Female,High school/GED,Personal care provider,Caucasian,Personal care aide,39-9021.00
575,928437028,Approved,1,23,Female,4-year degree,Chemist,Caucasian,"Environmental Scientists and Specialists, Including Health",19-2041.00
576,928459865,Approved,1,50,Female,High school/GED,transcriptionist,Caucasian,Medical Transcriptionist,31-9094.00
577,929308938,Approved,1,25,Female,4-year degree,Graduate Assistant,Caucasian,"Educational, Guidance, School, and Vocational Counselors",21-1012
578,929875778,Approved,1,54,Male,4-year degree,Senior IT Project Manager,Caucasian,Information Technology Project Managers,15-1199.09
579,930160624,Approved,1,45,Female,High school/GED,Collections clerk,Caucasian,Bill and Account Collectors,43-3011.00
580,931161174,Approved,0,49,Male,2-year degree,woodworker,Caucasian,woodworkers other,51-7099.00
581,933037575,Approved,0,43,Male,4-year degree,technical director,Caucasian,diagnostic medical sonographer,29-2032.00
582,934612726,Approved,0,21,Female,4-year degree,Administrative Assistant,Caucasian,"Office Clerks, General",43-9061.00
583,935781766,Approved,0,23,Female,High school/GED,Shit Lead,Caucasian,First-Line Supervisors of Retail Sales Workers,41-1011.00
584,935986750,Approved,0,28,Female,High school/GED,Administrative Assistant,Caucasian,Executive Secretaries and Executive Administrative Assistants,43-6011.00
585,939248767,Approved,0,41,Male,2-year degree,Systems Engineer,Hispanic,Network and Computer Systems Administrators,15-1142.00
586,940918000,Approved,1,30,Female,High school/GED,office manager,Caucasian,"Office Clerks, General",43-9061.00
587,941103470,Approved,1,27,Male,4-year degree,Senior Research Analyst,Caucasian,Survey Researchers,19-3022.00
588,947054197,Approved,1,23,Female,High school/GED,Sculptor,Caucasian,Fine Arts,27-1013.00
589,948665560,Approved,1,49,Male,4-year degree,network operations,Caucasian,Computer Network Support Specialists,15-1152.00
590,949920944,Approved,1,35,Male,2-year degree,programmer I,Caucasian,Computer Programmers,15-1131.00
591,954286596,Approved,1,29,Female,2-year degree,self employed,Caucasian,Medical Records and Health Information Technicians,29-2071.00
592,956377069,Approved,1,42,Female,4-year degree,CLINIC COORDINATOR,Asian,Medical Secretaries,43-6013.00
593,957642259,Approved,1,33,Female,2-year degree,Billing Specialist,Caucasian,Bill and Account Collectors,43-3011.00
594,961300561,Approved,0,41,Male,Masters or equivalent,Developer,Caucasian,Training and Development specialist,13-1151.00
595,963057076,Approved,0,22,Female,4-year degree,Guarantor Rep 1,Caucasian,"Office Clerks, General",43-9061.00
596,964690222,Approved,1,28,Female,High school/GED,Credit associate,Hispanic,"Credit authorizes, checkers and clerks",43-4041.00
597,966871590,Approved,1,46,Female,High school/GED,manager,Caucasian,gernal and operations manager,11-1021.00
598,966884524,Approved,1,49,Male,4-year degree,sales associate,Caucasian,"Sales Representatives, Services, All Other",41-3099.00
599,968235066,Approved,1,37,Male,Masters or equivalent,Attorney,Caucasian,Lawyers,23-1011.00
600,969286451,Approved,1,50,Female,Masters or equivalent,correspondence specialist,Caucasian,Executive Assistants and Executive Secretaries,43-6011.00
601,971458019,Approved,1,29,Female,2-year degree,merchandiser,Caucasian,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products  Bright Outlook",41-4012.00
602,975332628,Approved,0,39,Female,4-year degree,Leasing Manager,Caucasian,"Property, Real Estate, and Community Association Managers",11-9141.00
603,975513990,Approved,1,30,Female,2-year degree,Operations Manager,Caucasian,General and Operations Managers,11-1021.00
604,975676688,Approved,1,50,Female,2-year degree,Computer Technician,Caucasian,Computer User Support Specialists,15-1151.00
605,978072621,Approved,1,26,Female,4-year degree,assistant,Hispanic,#NAME?,21-1093.00
606,980114465,Approved,1,22,Female,2-year degree,net admin,Caucasian,Network and Computer Systems Administrators,15-1142.00
607,986426801,Approved,1,48,Male,Ph.D. or equivalent,professor,Caucasian,"Computer Science Teachers, Postsecondary",25-1021.00
608,987225436,Approved,0,40,Female,4-year degree,General Manager,Caucasian,General and Operations Managers,11-1021.00
609,988711828,Approved,0,35,Male,4-year degree,District Manager Designate,Caucasian,General and operations manager,11-1021.00
610,991078916,Approved,1,34,Female,Masters or equivalent,Bookkeeper,Caucasian,"Bookkeeping, Accounting, and Auditing Clerks",43-3031.00
611,996844342,Approved,1,22,Female,2-year degree,Server,Caucasian,Waiters and Waitresses,35-3031.00
612,997728608,Approved,1,40,Female,4-year degree,A/R Coordinator,Caucasian,"43-3031.00 - Bookkeeping, Accounting, and Auditing Clerks","43-3031.00 - Bookkeeping, Accounting, and Auditing Clerks"
613,17103515,NA,0,35,Female,4-year degree,Teller,Caucasian,Tellers,43-3071.00
614,29025459,NA,0,39,Female,4-year degree,Managing Editor,Caucasian,Editors,27-3041.00
615,112411405,NA,1,24,Female,High school/GED,Nanny,Caucasian,Nannies,39-9011.01
616,152389624,NA,0,36,Male,High school/GED,cashier,Caucasian,Cahier,41-2011.00
617,153391628,NA,0,22,Male,2-year degree,Customer Assistance,African American,Customer Service Representatives,43-4051.00
618,156350950,NA,0,39,Male,Masters or equivalent,Financial specialist,Caucasian,"Financial Specialists, All Other",13-2099.00
619,178339647,NA,0,50,Female,Masters or equivalent,Educator,Caucasian,"25-2031.00 - Secondary School Teachers, Except Special and Career/Technical Education",25-2031.00
620,185043903,NA,0,35,Male,Masters or equivalent,IT Analyst,Asian,computer system analyst,15-1121.00
621,239988008,NA,0,21,Male,2-year degree,Host,African American,Host,35-9031
622,247396056,NA,0,31,Female,2-year degree,Supervisor,Caucasian,First-Line Supervisors of Retail Sales Workers,41-1011.00
623,249979985,NA,0,43,Male,4-year degree,project manager,Caucasian,Information Technology Project Managers,15-1199.09
624,254804660,NA,1,31,Other,High school/GED,Meat Stock,Caucasian,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",43-5081.03
625,259544733,NA,0,30,Male,High school/GED,concierge,Caucasian,Receptionists and Information Clerks,43-4171.00
626,270228900,NA,1,57,Female,2-year degree,Assistant Manager,Caucasian,assistant manager front line retail sales management,41-1011.00
627,292482288,NA,0,49,Female,2-year degree,administrative assistant,Caucasian,office clerk,43-9061.00
628,329761674,NA,0,54,Female,High school/GED,Bakery Clerk,Caucasian,Baker,51-3011.00
629,335126776,NA,0,20,Male,High school/GED,Engineer,Hispanic,Civil Engineer,17-2051.00
630,353529661,NA,0,33,Female,4-year degree,Social worker,Caucasian,"Child, Family, and School Social Workers",21-1021.00
631,384760354,NA,0,37,Female,2-year degree,customer service representative,Other:,#NAME?,43-4051.00
632,389506426,NA,0,50,Female,4-year degree,Web design,Caucasian,"Fine Artists, Including Painters, Sculptors, and Illustrators",27-1013.00
633,409804415,NA,0,34,Male,4-year degree,library staff,Hispanic,Library Technicians,25-4031.00
634,434618289,NA,0,65,Male,Masters or equivalent,Director,Caucasian,Music Director,27-2041.01
635,443774624,NA,0,55,Female,High school/GED,Property Inspector,Caucasian,Assessors,13-2021.01
636,457982714,NA,0,22,Female,4-year degree,Child Nutrition Coordinator,Caucasian,Dietitians and Nutritionists,29-1031.00
637,465081120,NA,0,42,Female,4-year degree,office manager,Asian,"Office Clerks, General",43-9061.00
638,467358416,NA,1,43,Female,4-year degree,clerk,Asian,Retail Salesperson,41-2031
639,483065398,NA,0,45,Female,High school/GED,administration,Asian,"Office and Administrative Support Workers, All Other",43-9199.00
640,490474663,NA,0,48,Female,4-year degree,Editor,Caucasian,Editors,27-3041.00
641,503056862,NA,0,41,Female,Masters or equivalent,Fundraiser,Caucasian,Fundraisers,13-1131.00
642,508441164,NA,0,38,Female,4-year degree,Accounts Receivable,Caucasian,"Bookkeeping, Accounting, and Auditing Clerks",43-3031.00
643,509765493,NA,0,35,Female,Masters or equivalent,Subscriber and Ticketing Services Rep,Caucasian,"Ushers, Lobby Attendants, and Ticket Takers",39-3031.00
644,517603914,NA,0,30,Male,High school/GED,Field service,Caucasian,Sales engineers,42-9031.00
645,546548505,NA,0,33,Female,Masters or equivalent,Designer,Asian,"Architects, Except Landscape and Naval",17-1011.00
646,549031475,NA,0,39,Female,Masters or equivalent,Teacher,Caucasian,Elementary,25-2021.00
647,550005532,NA,0,25,Female,4-year degree,Treatment Plant Operator Trainee,Caucasian,Water and Wastewater Treatment Plant and System Operators,51-8031.00
648,573597820,NA,1,44,Male,High school/GED,Customer Service Rep,Caucasian,Customer Service Representatives,43-4051.00
649,574602501,NA,0,28,Female,Masters or equivalent,Assistant Editor,Hispanic,Editors,27-3041.00
650,581391623,NA,1,28,Female,4-year degree,Paralegal,Caucasian,Paralegals and Legal Assistants,23-2011.00
651,581820948,NA,0,59,Female,4-year degree,Finance Specialist,Caucasian,Financial Analyst,13-2051.00
652,593654613,NA,0,28,Male,4-year degree,Analyst,Caucasian,Military,55-3019.00
653,600267033,NA,0,54,Male,High school/GED,Lead carpenter,Caucasian,Cabinetmakers and bench carpenters,51-7011.00
654,604860184,NA,0,55,Female,Masters or equivalent,TRAINING TEACHER,African American,MUSIC DIRECTOR,27-2041.01
655,633177013,NA,0,28,Female,High school/GED,Supervisory transportation security officer,Caucasian,Transportation security screeners,33-9093
656,665828643,NA,0,45,Male,High school/GED,mining,Caucasian,Extraction workers All others,47-5099.00
657,679842817,NA,1,46,Female,4-year degree,teaching assistant,Caucasian,special education teacher elementary,25-2052.00
658,687551579,NA,0,31,Male,2-year degree,Commercial Driver,Caucasian,Heavy and Tractor-Trailer Truck Drivers,53-3032.00
659,716824269,NA,1,27,Female,2-year degree,nurse,Caucasian,nursing assistant,31.1014.00
660,722126639,NA,0,25,Female,4-year degree,Office Manager,Caucasian,Administrative Services Managers,11-3011.00
661,735731167,NA,0,31,Male,High school/GED,E-Commerce Web Developer/SEO,Caucasian,Web Developers,15-1134.00
662,763014589,NA,1,54,Female,Masters or equivalent,Financial Advisor,Caucasian,Personal Financial Advisor,13-2052.00
663,797764409,NA,0,42,Female,Ph.D. or equivalent,PsychD,Hispanic,Clinical Psychologists,19-3031.02
664,800138849,NA,0,19,Male,High school/GED,General Manager,Caucasian,General and Operations Managers,11-1021.00
665,910942110,NA,0,35,Female,2-year degree,manager,Caucasian,insurance policy processing clerk,43-9041.02
666,920156991,NA,0,42,Male,High school/GED,zookeeper,Caucasian,Nonfarm Animal Caretakers,39-2021.00
667,925094033,NA,0,26,Female,4-year degree,Receptionist,African American,Receptionists and Information Clerks,43-4171.00
